model_name,split_role,rows,positives,positive_rate,roc_auc,average_precision,high_threshold,medium_threshold
baseline_logistic_structural,validation,691122,18841,0.027261467584594325,0.5193823209192441,0.027689722272788993,0.17652030359205045,0.1708741959657897
baseline_logistic_structural,test,691122,18888,0.027329472943995417,0.5150515398196824,0.027512557238589405,0.17652030359205045,0.1708741959657897
challenger_logistic_encoded_history,validation,691122,18841,0.027261467584594325,0.6227552578754579,0.045567635107273664,0.0001290455921677446,2.681923549853644e-05
challenger_logistic_encoded_history,test,691122,18888,0.027329472943995417,0.6239804738783975,0.04569916727439689,0.0001290455921677446,2.681923549853644e-05
