amount_band,flow_rows,case_open_rate,case_truth_rate,prior_case_open_rate,prior_case_truth_rate,case_open_rate_delta,case_truth_rate_delta,priority_rank,priority_attention_flag
50_plus,1892665.0,0.1078193975162007,0.1822792625915145,0.1081046213471658,0.18048794980861316,-0.0002852238309650895,0.0017913127829013442,1,1
25_to_50,3775943.0,0.09480148402663917,0.19963124886511252,0.09513409976071717,0.19996560677264666,-0.00033261573407800116,-0.0003343579075341385,2,0
10_to_25,6126393.0,0.09455612788797585,0.20186504812804684,0.09483327125528428,0.20120600176768688,-0.00027714336730842726,0.0006590463603599606,3,0
under_10,6759941.0,0.09448484831450452,0.2012096218640013,0.09473575543780854,0.20122254995769312,-0.0002509071233040283,-1.2928093691827458e-05,4,0
